feature_set,n_features,task,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_s
DE_only,128,valence,LogisticRegression,0.6719761904761905,0.1412826243770593,0.4450051025117984,0.016246569983972926,0.4489064807238673,0.018801743267068204,0.20282182693481446
DE_only,128,valence,RandomForest,0.7785238095238094,0.06900525178015533,0.44594916997847783,0.01435262916688478,0.5007934274233433,0.05867100986188685,5.527197933197021
DE_only,128,valence,XGBoost,0.7555079365079365,0.07926097537365517,0.45035704576459024,0.026151773909253533,0.4517487934896268,0.06164507654143681,2.980150842666626
DE_only,128,arousal,LogisticRegression,0.6658809523809524,0.05907325778929296,0.4799174043080868,0.029993315540353113,0.46110696483232133,0.060855704976426644,0.25420165061950684
DE_only,128,arousal,RandomForest,0.7666666666666666,0.030914697757134305,0.4341076241802537,0.010314410979436202,0.4890124593959831,0.04614441612494995,5.899678468704224
DE_only,128,arousal,XGBoost,0.7584126984126984,0.02298117595389179,0.44114879584107325,0.015130328847956929,0.4684704094496149,0.06270731631512734,2.9892924785614015
DE_only,128,dominance,LogisticRegression,0.517825396825397,0.08498948773790273,0.4649762260754611,0.06397374239638877,0.5003783995517384,0.04772875774065311,0.22888998985290526
DE_only,128,dominance,RandomForest,0.576920634920635,0.053304815693943484,0.44131457613396724,0.053753701444877414,0.49697629737712157,0.023130397872755032,6.166649532318115
DE_only,128,dominance,XGBoost,0.5544126984126984,0.05554297901865333,0.4576160380859644,0.021899031516746808,0.46602194797114693,0.04710981054171558,3.01651873588562
DE_only,128,liking,LogisticRegression,0.5708412698412698,0.049794443932134204,0.4495954125496836,0.02873033405960876,0.4235953890412226,0.016187875576413293,0.25353298187255857
DE_only,128,liking,RandomForest,0.6427063492063493,0.017975257518100418,0.4468825073835708,0.04882994965104677,0.5279768819968277,0.037577404838327284,7.340785217285156
DE_only,128,liking,XGBoost,0.6347539682539682,0.03377228228732004,0.451967087922557,0.05523789054763383,0.5113555551493144,0.020678636862649515,3.222609806060791
DE+Hjorth,224,valence,LogisticRegression,0.6064444444444445,0.081247645662345,0.4483967454512003,0.017080076093791436,0.4353800601437664,0.02497646453174743,0.7985843181610107
DE+Hjorth,224,valence,RandomForest,0.7811825396825397,0.06580159878851127,0.446941218870249,0.015051407224461626,0.501094108865743,0.07520401996957102,9.93164381980896
DE+Hjorth,224,valence,XGBoost,0.7664682539682539,0.05811094364426557,0.452234070254881,0.027924978377187555,0.4587748452439852,0.055929488718705136,5.414526653289795
DE+Hjorth,224,arousal,LogisticRegression,0.6746904761904762,0.05571136314859861,0.48173904590391226,0.028165588864268613,0.44773274014166703,0.09358404873438246,0.6559887409210206
DE+Hjorth,224,arousal,RandomForest,0.7661904761904762,0.03201032101209787,0.4343322962830845,0.010595859604333142,0.4616101932955983,0.06171707502074407,9.261703872680664
DE+Hjorth,224,arousal,XGBoost,0.7589841269841271,0.026241661743028485,0.4382827452036329,0.014034766806493215,0.4710485321706049,0.03773013641969963,5.673670768737793
