task,subject,n_calib_windows,n_eval_windows,zeroshot_accuracy,zeroshot_f1,zeroshot_auc,calibrated_accuracy,calibrated_f1,calibrated_auc,calibration_skipped_single_class
valence,1,120,480,0.6666666666666666,0.4482600074714791,0.4142460317460318,0.7645833333333333,0.4332939787485242,0.36734126984126986,False
valence,2,120,480,0.8125,0.4482758620689655,0.5194301994301994,,,,True
valence,3,120,480,0.4979166666666667,0.33240611961057026,0.4552951388888889,0.6875,0.6785714285714286,0.7242361111111112,False
valence,4,120,480,0.90625,0.47540983606557374,0.5668965517241379,0.8770833333333333,0.48357920458068165,0.46247765006385694,False
valence,5,120,480,0.6875,0.4137571651902032,0.5527474747474748,0.6270833333333333,0.48045351473922904,0.4548888888888889,False
valence,6,120,480,0.53125,0.3469387755102041,0.45343790849673205,0.6125,0.5457505698469554,0.6606361655773421,False
valence,7,120,480,0.8104166666666667,0.4476409666283084,0.6004558404558406,0.5354166666666667,0.4781565822766296,0.5038176638176637,False
valence,8,120,480,0.8354166666666667,0.4674082501158724,0.4942551440329218,0.6541666666666667,0.4553656869446343,0.4853004115226338,False
valence,9,120,480,0.875,0.4666666666666667,0.4204365079365079,0.8541666666666666,0.4744744744744745,0.49432539682539683,False
valence,10,120,480,0.7791666666666667,0.4379391100702576,0.4934857142857142,0.58125,0.4129637178964533,0.36307301587301594,False
valence,11,120,480,0.5625,0.36,0.4305996472663139,0.55,0.41588732394366196,0.4515343915343915,False
valence,12,120,480,0.96875,0.49206349206349204,0.4150537634408602,0.9208333333333333,0.4793926247288503,0.35297491039426526,False
valence,13,120,480,0.9375,0.4838709677419355,0.41348148148148145,,,,True
valence,14,120,480,0.75,0.42857142857142855,0.418449074074074,,,,True
valence,15,120,480,0.6354166666666666,0.4325512899325141,0.5287777777777778,,,,True
valence,16,120,480,0.84375,0.4576271186440678,0.5038024691358025,0.7479166666666667,0.580925168300972,0.7194403292181071,False
valence,17,120,480,0.7791666666666667,0.4558288770053476,0.5890285714285713,0.6479166666666667,0.46827129176253124,0.4117587301587302,False
valence,18,120,480,0.84375,0.4576271186440678,0.5379423868312757,0.6895833333333333,0.5675283446712018,0.6113909465020577,False
valence,19,120,480,0.8541666666666666,0.48752364102251233,0.6304960317460317,0.8666666666666667,0.4642857142857143,0.5357936507936507,False
valence,20,120,480,0.8416666666666667,0.5042400521852577,0.5438888888888889,0.7791666666666667,0.4558288770053476,0.371031746031746,False
valence,21,120,480,0.94375,0.4855305466237942,0.5924014336917562,0.9291666666666667,0.5093795093795094,0.6533333333333334,False
valence,22,120,480,0.84375,0.4576271186440678,0.5716543209876543,0.8375,0.4911937377690802,0.6795720164609054,False
valence,23,120,480,0.5333333333333333,0.35576646534368705,0.476636165577342,0.53125,0.3509264323190557,0.5762962962962962,False
valence,24,120,480,0.86875,0.49457639016563315,0.5053174603174604,,,,True
valence,25,120,480,0.9020833333333333,0.47426067907995617,0.44771392081736905,0.8020833333333334,0.5746228976016567,0.6650319284802043,False
valence,26,120,480,0.75,0.42857142857142855,0.5887268518518518,0.7020833333333333,0.5251502929761814,0.6204629629629629,False
valence,27,120,480,0.9,0.47368421052631576,0.4706002554278417,0.6895833333333333,0.4927623600167377,0.5259259259259259,False
valence,28,120,480,0.6854166666666667,0.40667490729295425,0.4525050505050505,,,,True
valence,29,120,480,0.84375,0.4576271186440678,0.5048559670781894,,,,True
valence,30,120,480,0.78125,0.4566564969436928,0.5532444444444444,0.6354166666666666,0.45727669197221776,0.45864126984126985,False
valence,31,120,480,0.59375,0.37254901960784315,0.46085470085470087,0.6354166666666666,0.6097941664227879,0.6467836257309942,False
valence,32,120,480,0.7270833333333333,0.4679077639094563,0.49768518518518523,0.73125,0.6538287369109582,0.6227314814814815,False
arousal,1,120,480,0.71875,0.41818181818181815,0.4924100912506709,0.7333333333333333,0.6151436947207537,0.7458507783145464,False
arousal,2,120,480,0.7791666666666667,0.4379391100702576,0.7429079365079365,0.775,0.6275755050432483,0.8150095238095239,False
