task,model,condition,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
valence,LogisticRegression,none,0.5992460317460317,0.054577617219290046,0.45562228158562623,0.016874932953366832,0.43740634191883954,0.05118647200040585
valence,LogisticRegression,coral,0.7019603174603175,0.1265313747929907,0.46573546230161683,0.019288485010888003,0.47345267484750997,0.034097381104306254
valence,RandomForest,none,0.782920634920635,0.06267882329097157,0.4476177380417953,0.019055357273514435,0.47693869615264506,0.04926134997414685
valence,RandomForest,coral,0.7689444444444444,0.07158994997388808,0.470348917708889,0.042911910570012916,0.48726107999778767,0.08007899040853461
valence,XGBoost,none,0.7661984126984127,0.062336750768280234,0.45301084583175655,0.025848468921169713,0.47126552027456203,0.05499242107073038
valence,XGBoost,coral,0.7731904761904762,0.050678111399860705,0.45451129726784556,0.029284031166802036,0.4718889309781152,0.034827534766434944
arousal,LogisticRegression,none,0.6382460317460318,0.047236729130912015,0.4845692975891847,0.03821634093950278,0.4542977022437916,0.10155693367414502
arousal,LogisticRegression,coral,0.7310476190476191,0.06307463599954567,0.4649370630994863,0.027482146744155292,0.47743886686038844,0.06558234011008751
arousal,RandomForest,none,0.7663253968253969,0.031216019570133778,0.4339950707233234,0.010409456502456286,0.47942572199391337,0.05769822739185175
arousal,RandomForest,coral,0.7510952380952381,0.02091263440850421,0.43995130712201735,0.015697667060218804,0.4691944578216217,0.0615305239262123
arousal,XGBoost,none,0.7638015873015872,0.03021186839117309,0.4378543452662835,0.01156780986570146,0.48205511859585537,0.045246323961076064
arousal,XGBoost,coral,0.7572857142857143,0.03651498379186592,0.44545158723806033,0.0072360250116158134,0.4821684189263273,0.06599801912579127
dominance,LogisticRegression,none,0.5596666666666665,0.045433567174535984,0.5048108558783798,0.05665489079206282,0.5606461433271999,0.06054954866710539
dominance,LogisticRegression,coral,0.5498253968253969,0.08849193269973962,0.4675528871615603,0.06469560202139167,0.523946861018292,0.027471778044459133
dominance,RandomForest,none,0.5647063492063491,0.05729362825611861,0.42161003286793497,0.05181045565346634,0.46654368489576187,0.01565097541830176
dominance,RandomForest,coral,0.5683650793650794,0.05469151215351145,0.44415543357600057,0.03901963856101239,0.5131938513656559,0.06477949261245512
dominance,XGBoost,none,0.5833888888888888,0.06917034682265691,0.477811014224363,0.04540632458873585,0.5134844349134632,0.03077331026627707
dominance,XGBoost,coral,0.5714523809523809,0.051923216465886074,0.45780198429388524,0.019037854898828397,0.527108239698089,0.059981360386133345
liking,LogisticRegression,none,0.562595238095238,0.041702324122746444,0.4754327724071109,0.026098573190780124,0.457642334377198,0.02333381513076129
liking,LogisticRegression,coral,0.6127063492063491,0.06006411786772543,0.44690325425837063,0.039390869484190856,0.45592890179249423,0.020571269745992465
liking,RandomForest,none,0.6438412698412699,0.014015280911112135,0.45972556574688667,0.05947739248731959,0.5177936620478066,0.05387534446890921
liking,RandomForest,coral,0.6242619047619048,0.032502490359457736,0.4569532966700736,0.03744626517027272,0.4860670479241631,0.030294116024788893
liking,XGBoost,none,0.6278095238095238,0.03635539430589788,0.4474685013946801,0.0454519695591206,0.47772922302210485,0.04148825363399023
liking,XGBoost,coral,0.6325873015873016,0.024553832369945804,0.4502145049949025,0.02679884887585594,0.4986747903427992,0.026949132635927426
