task,model,condition,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
valence,LogisticRegression,none,0.6719761904761905,0.1412826243770593,0.4450051025117984,0.016246569983972926,0.4489064807238673,0.018801743267068204
valence,LogisticRegression,coral,0.7532142857142856,0.08554659154383032,0.4626015040152306,0.027189238160537487,0.46716348423408627,0.020944068945765667
valence,LogisticRegression,ea,0.7655793650793651,0.03511132997434587,0.4572463937979675,0.0308599787030649,0.5361849652500712,0.03203984786712854
valence,LogisticRegression,ea_coral,0.7784444444444445,0.045288204981606774,0.45387170500286533,0.02903243443533628,0.5322225529873986,0.03851954408260438
valence,RandomForest,none,0.7785238095238094,0.06900525178015533,0.44594916997847783,0.01435262916688478,0.5007934274233433,0.05867100986188685
valence,RandomForest,coral,0.7725952380952382,0.07046306005239618,0.46044370760046693,0.03238079261207234,0.4901808362886295,0.07730557992526538
valence,RandomForest,ea,0.7886349206349206,0.057064572422825977,0.44112540152744495,0.01833513499004559,0.5282096442073825,0.011965038616862787
valence,RandomForest,ea_coral,0.7889047619047619,0.05666287752437572,0.44127402278533034,0.016878516327745837,0.5327453382253503,0.017278695572151278
valence,XGBoost,none,0.7555079365079365,0.07926097537365517,0.45035704576459024,0.026151773909253533,0.4517487934896268,0.06164507654143681
valence,XGBoost,coral,0.7643492063492064,0.06864013014713971,0.4525143504663989,0.022564813852617008,0.4694945929331199,0.036128049927760725
valence,XGBoost,ea,0.7804444444444444,0.05349822600035619,0.45243733580087353,0.019855853267590477,0.5207896269676054,0.03228804507850681
valence,XGBoost,ea_coral,0.7793888888888888,0.04731083788846101,0.4573436518566754,0.02871636301287977,0.5109098181250046,0.014046048149255435
arousal,LogisticRegression,none,0.6658809523809524,0.05907325778929296,0.4799174043080868,0.029993315540353113,0.46110696483232133,0.060855704976426644
arousal,LogisticRegression,coral,0.7389603174603174,0.04304747565177222,0.45609782998132076,0.029992868541356545,0.4824588447775652,0.043271025054764996
arousal,LogisticRegression,ea,0.7423571428571428,0.04755488070917954,0.4558849698664648,0.014599249153349567,0.5392785795228777,0.058763867767345
arousal,LogisticRegression,ea_coral,0.7543253968253969,0.040715310640275594,0.45303660300786885,0.012880065871097083,0.5292698434424756,0.035426218437273685
arousal,RandomForest,none,0.7666666666666666,0.030914697757134305,0.4341076241802537,0.010314410979436202,0.4890124593959831,0.04614441612494995
arousal,RandomForest,coral,0.7601507936507936,0.0239087943752019,0.4374324821512894,0.01364250921183123,0.45256785771477553,0.06795929601556268
arousal,RandomForest,ea,0.766404761904762,0.032288709846828634,0.43412716075172214,0.01000764914771514,0.5156247574183203,0.04791716321743206
arousal,RandomForest,ea_coral,0.7668888888888888,0.03187037404864437,0.43388700647612977,0.010149175460441695,0.5017259663759326,0.03830541718272959
arousal,XGBoost,none,0.7584126984126984,0.02298117595389179,0.44114879584107325,0.015130328847956929,0.4684704094496149,0.06270731631512734
arousal,XGBoost,coral,0.7570238095238095,0.032981896436793896,0.4414324556407129,0.012482529254443374,0.47088843900231697,0.036845196589981186
arousal,XGBoost,ea,0.7602539682539683,0.0334777977780277,0.4428123001385399,0.01355690236857071,0.5338255239957246,0.018834670178881345
arousal,XGBoost,ea_coral,0.7612698412698413,0.0318469996545867,0.44107314014354265,0.011301436826147676,0.5131216694202838,0.025760934577775757
dominance,LogisticRegression,none,0.517825396825397,0.08498948773790273,0.4649762260754611,0.06397374239638877,0.5003783995517384,0.04772875774065311
dominance,LogisticRegression,coral,0.536484126984127,0.09516538064055426,0.45350585295222556,0.0584444616585475,0.4703794270193803,0.0477470342938523
dominance,LogisticRegression,ea,0.5893650793650793,0.03978719334909332,0.5235365712506078,0.021959310827305456,0.5746543600514349,0.03856780123091931
dominance,LogisticRegression,ea_coral,0.5754047619047619,0.04110960192118649,0.4929646820996423,0.01740878300123493,0.5550682442513513,0.03273613914929072
dominance,RandomForest,none,0.576920634920635,0.053304815693943484,0.44131457613396724,0.053753701444877414,0.49697629737712157,0.023130397872755032
dominance,RandomForest,coral,0.5532063492063493,0.04851697558462464,0.44617704506638045,0.027742661317733428,0.4744268535054535,0.05070607550532312
dominance,RandomForest,ea,0.5919920634920635,0.05654870787033051,0.42904912136476553,0.03507385660024292,0.5352755404952254,0.038305026578801485
dominance,RandomForest,ea_coral,0.5885952380952381,0.054500097371515434,0.43638058898066845,0.02484763148843458,0.5225867253520773,0.03718395285070129
dominance,XGBoost,none,0.5544126984126984,0.05554297901865333,0.4576160380859644,0.021899031516746808,0.46602194797114693,0.04710981054171558
dominance,XGBoost,coral,0.5424047619047618,0.04212111020818503,0.46794030423599287,0.02862779838008491,0.47324626983493745,0.050591769352007196
dominance,XGBoost,ea,0.5747619047619048,0.03352933916411207,0.4900030218093619,0.013866185871623703,0.5388984902650424,0.02487334728058281
