task,model,n_folds_total,accuracy_mean,accuracy_std,accuracy_ci95_lo,accuracy_ci95_hi,f1_macro_mean,f1_macro_std,f1_macro_ci95_lo,f1_macro_ci95_hi,roc_auc_mean,roc_auc_std,roc_auc_ci95_lo,roc_auc_ci95_hi,chance_in_auc_ci,elapsed_s
valence,LogisticRegression,25,0.5976555555555556,0.09665168132820724,0.5577597023411122,0.637551408769999,0.4607476625811752,0.051476903971409776,0.4394990409684439,0.48199628419390655,0.48210925001672683,0.08030748519284325,0.44895994938123224,0.5152585506522215,True,18.74505066871643
valence,kNN,25,0.7655714285714287,0.031470468206091354,0.7525810577585662,0.7785617993842912,0.48155403589522305,0.023125313477630832,0.47200837565048714,0.49109969613995896,0.5152516453269336,0.04905693692118845,0.49500193701703005,0.535501353636837,True,17.441909074783325
valence,RandomForest,25,0.7820999999999999,0.03867890703438138,0.7661341318812791,0.7980658681187207,0.4495385675545097,0.016551706955848504,0.44270635871877684,0.4563707763902426,0.4972592995784622,0.04726517590162854,0.47774919386676884,0.5167694052901556,True,310.8099946975708
valence,SVM-RBF,25,0.6866857142857141,0.07909512215864095,0.6540368525147118,0.7193345760567165,0.47661373824358677,0.033050940777469937,0.4629709804173721,0.49025649606980143,0.4811758466355604,0.05720987937236338,0.4575607690860537,0.5047909241850671,True,1011.4478302001953
valence,XGBoost,25,0.7702507936507937,0.036134852361945774,0.7553350596879016,0.7851665276136859,0.45280356069238437,0.021296756496554332,0.4440126916722682,0.46159442971250053,0.4945093989973844,0.040348280714480704,0.4778544472912283,0.5111643507035405,True,159.14109826087952
valence,MLP,25,0.7071793650793652,0.0653879123912185,0.6801885614129461,0.7341701687457842,0.4693360018752649,0.028375638548109674,0.45762311395832084,0.481048889792209,0.4808542916065069,0.05611138163481373,0.45769265163709627,0.5040159315759175,True,59.05895471572876
arousal,LogisticRegression,25,0.6372714285714286,0.09220905301933081,0.5992094021922928,0.6753334549505644,0.4844378058723546,0.04229234197992108,0.46698038511630663,0.5018952266284025,0.4851690427556355,0.06258880775346605,0.4593336526963572,0.5110044328149138,True,20.729722023010254
arousal,kNN,25,0.7280698412698412,0.038640681360786945,0.7121197519336702,0.7440199306060122,0.4653462762610227,0.02985818443524275,0.4530214234792784,0.47767112904276704,0.491180499447641,0.05923480131667921,0.46672957520047775,0.5156314236948042,True,19.484735012054443
arousal,RandomForest,25,0.7666285714285713,0.047963818147265566,0.7468300803717054,0.7864270624854373,0.4341662822221643,0.01557360543184796,0.4277378138521336,0.440594750592195,0.48500945117699473,0.05808293768280134,0.46103399286926194,0.5089849094847275,True,313.31107473373413
arousal,SVM-RBF,25,0.7127269841269842,0.051758477349456704,0.6913621347362642,0.7340918335177042,0.4592971187620511,0.032136464017977553,0.4460318383895482,0.472562399134554,0.4675363095180562,0.05949029457561981,0.44297992283696636,0.49209269619914603,False,1011.431925535202
arousal,XGBoost,25,0.7611698412698413,0.04547794360730601,0.7423974687904574,0.7799422137492252,0.4413437286974211,0.01956188920485618,0.4332689776988952,0.449418479695947,0.4861069860443987,0.06340518448143301,0.4599346122342009,0.5122793598545966,True,158.3566119670868
arousal,MLP,25,0.7050190476190475,0.061292261529341564,0.6797188455371802,0.7303192497009149,0.47455189516852686,0.030962997157864623,0.461770998108965,0.48733279222808873,0.5029439755645203,0.057261009447248656,0.47930779255741124,0.5265801585716293,True,68.14012098312378
dominance,LogisticRegression,25,0.571795238095238,0.054477645647012456,0.549307971196888,0.594282504993588,0.5300555063261495,0.041674983239892556,0.5128529187332123,0.5472580939190868,0.571482759606464,0.06263769476816941,0.54562718997932,0.597338329233608,False,20.727017402648926
dominance,kNN,25,0.5593650793650794,0.0364467583216378,0.5443205969498729,0.5744095617802859,0.5168781409053558,0.026129985207827312,0.5060922131281965,0.527664068682515,0.5307423421601329,0.038161331362770265,0.5149901187782465,0.5464945655420194,False,20.186136484146118
dominance,RandomForest,25,0.5843428571428572,0.04916645592278392,0.5640479416109809,0.6046377726747334,0.4585102698055766,0.06534938285056663,0.43153537035186385,0.4854851692592893,0.5139684076364495,0.05257884236489851,0.4922649282106533,0.5356718870622456,True,301.08582401275635
dominance,SVM-RBF,25,0.5421825396825397,0.04926331321513567,0.5218476434253898,0.5625174359396896,0.5073455236593254,0.04847003523520399,0.48733807645852595,0.5273529708601248,0.5374030826209694,0.06549103113771994,0.5103697136280341,0.5644364516139047,False,1298.1791982650757
dominance,XGBoost,25,0.5781206349206349,0.04300996794139289,0.5603669927266532,0.5958742771146166,0.4830882328745307,0.041622662299195014,0.46590724230444314,0.5002692234446182,0.5169896870373614,0.04012946639384044,0.5004250574435318,0.5335543166311909,False,154.48243975639343
dominance,MLP,25,0.5726396825396826,0.036949024630980695,0.5573878747817946,0.5878914902975705,0.5218726321230064,0.04377158284039727,0.5038046107501108,0.5399406534959019,0.5491142480241269,0.057285552533055416,0.525467934129119,0.5727605619191348,False,66.55671668052673
liking,LogisticRegression,25,0.5589412698412698,0.060734433493485285,0.5338713278555703,0.5840112118269692,0.46248934173686956,0.04288941007988632,0.4447854633822792,0.4801932200914599,0.4552956880188425,0.054511645765027,0.4327943865615594,0.47779698947612564,False,19.625811338424683
liking,kNN,25,0.6299333333333333,0.03766223500787216,0.6143871268012445,0.6454795398654222,0.47953727514565786,0.02591459328159527,0.4688402567858459,0.4902342935054698,0.5321091850021935,0.033145074092901884,0.5184275708531146,0.5457907991512724,False,18.060407876968384
liking,RandomForest,25,0.6382603174603174,0.042978837240847875,0.6205195253879512,0.6560011095326836,0.4580675948043302,0.0440596062153732,0.439880683225569,0.47625450638309136,0.5217251089020019,0.0510908329692223,0.5006358495664908,0.542814368237513,False,306.16241788864136
liking,SVM-RBF,25,0.5759587301587302,0.04804582055065758,0.5561263901733822,0.5957910701440783,0.4847581034009616,0.03131814242916209,0.4718306095784797,0.49768559722344347,0.5051053450495298,0.05139984841536913,0.483888530407054,0.5263221596920056,True,1272.5870842933655
liking,XGBoost,25,0.6314142857142857,0.03663237734516895,0.6162931835319438,0.6465353878966276,0.45563388509264624,0.04232109290586365,0.43816459653765866,0.4731031736476338,0.5038663649969952,0.03982344330905446,0.4874280555240687,0.5203046744699218,True,161.2332947254181
liking,MLP,25,0.6013952380952381,0.05753727950647124,0.5776450164125589,0.6251454597779172,0.4889792486034931,0.04407469254766581,0.47078610969282814,0.507172387514158,0.5156420215478711,0.051408980343434135,0.4944214374307557,0.5368626056649866,True,82.83557558059692
