task,model,condition,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
valence,LogisticRegression,none,0.6719761904761905,0.1412826243770593,0.4450051025117984,0.016246569983972926,0.4489064807238673,0.018801743267068204
valence,LogisticRegression,ea,0.7655793650793651,0.03511132997434587,0.4572463937979675,0.0308599787030649,0.5361849652500712,0.03203984786712854
valence,RandomForest,none,0.7785238095238094,0.06900525178015533,0.44594916997847783,0.01435262916688478,0.5007934274233433,0.05867100986188685
valence,RandomForest,ea,0.7886349206349206,0.057064572422825977,0.44112540152744495,0.01833513499004559,0.5282096442073825,0.011965038616862787
valence,XGBoost,none,0.7555079365079365,0.07926097537365517,0.45035704576459024,0.026151773909253533,0.4517487934896268,0.06164507654143681
valence,XGBoost,ea,0.7804444444444444,0.05349822600035619,0.45243733580087353,0.019855853267590477,0.5207896269676054,0.03228804507850681
arousal,LogisticRegression,none,0.6658809523809524,0.05907325778929296,0.4799174043080868,0.029993315540353113,0.46110696483232133,0.060855704976426644
arousal,LogisticRegression,ea,0.7423571428571428,0.04755488070917954,0.4558849698664648,0.014599249153349567,0.5392785795228777,0.058763867767345
arousal,RandomForest,none,0.7666666666666666,0.030914697757134305,0.4341076241802537,0.010314410979436202,0.4890124593959831,0.04614441612494995
arousal,RandomForest,ea,0.766404761904762,0.032288709846828634,0.43412716075172214,0.01000764914771514,0.5156247574183203,0.04791716321743206
arousal,XGBoost,none,0.7584126984126984,0.02298117595389179,0.44114879584107325,0.015130328847956929,0.4684704094496149,0.06270731631512734
arousal,XGBoost,ea,0.7602539682539683,0.0334777977780277,0.4428123001385399,0.01355690236857071,0.5338255239957246,0.018834670178881345
dominance,LogisticRegression,none,0.517825396825397,0.08498948773790273,0.4649762260754611,0.06397374239638877,0.5003783995517384,0.04772875774065311
dominance,LogisticRegression,ea,0.5893650793650793,0.03978719334909332,0.5235365712506078,0.021959310827305456,0.5746543600514349,0.03856780123091931
dominance,RandomForest,none,0.576920634920635,0.053304815693943484,0.44131457613396724,0.053753701444877414,0.49697629737712157,0.023130397872755032
dominance,RandomForest,ea,0.5919920634920635,0.05654870787033051,0.42904912136476553,0.03507385660024292,0.5352755404952254,0.038305026578801485
dominance,XGBoost,none,0.5544126984126984,0.05554297901865333,0.4576160380859644,0.021899031516746808,0.46602194797114693,0.04710981054171558
dominance,XGBoost,ea,0.5747619047619048,0.03352933916411207,0.4900030218093619,0.013866185871623703,0.5388984902650424,0.02487334728058281
liking,LogisticRegression,none,0.5708412698412698,0.049794443932134204,0.4495954125496836,0.02873033405960876,0.4235953890412226,0.016187875576413293
liking,LogisticRegression,ea,0.6222380952380953,0.03460474002575276,0.44378293871487207,0.021621436223334164,0.46829257966473936,0.029050533315457636
liking,RandomForest,none,0.6427063492063493,0.017975257518100418,0.4468825073835708,0.04882994965104677,0.5279768819968277,0.037577404838327284
liking,RandomForest,ea,0.6581269841269842,0.026897640931492793,0.41866472546718486,0.017435920903364127,0.4895456812081756,0.04531268779559783
liking,XGBoost,none,0.6347539682539682,0.03377228228732004,0.451967087922557,0.05523789054763383,0.5113555551493144,0.020678636862649515
liking,XGBoost,ea,0.6423015873015874,0.024096926112526507,0.45650979543247666,0.020181363207700937,0.4974966867862163,0.025737958659927875
