task,rank,feature,family,mean_abs_shap
valence,1.0,de_beta_P4,DE,0.168299600481987
valence,2.0,de_gamma_Pz,DE,0.13571378588676453
valence,3.0,de_gamma_CP5,DE,0.08570722490549088
valence,4.0,de_gamma_Fp2,DE,0.08356884121894836
valence,5.0,de_gamma_FC2,DE,0.08287861198186874
valence,6.0,plv_beta_CP5-CP6,Connectivity,0.07410883903503418
valence,7.0,de_gamma_P8,DE,0.07231243699789047
valence,8.0,plv_beta_F7-F8,Connectivity,0.07228778302669525
valence,9.0,coh_alpha_FC1-FC2,Connectivity,0.07048224657773972
valence,10.0,de_gamma_O1,DE,0.06910867989063263
valence,11.0,plv_beta_AF3-AF4,Connectivity,0.06723055243492126
valence,12.0,hjorth_complexity_P8,Hjorth,0.0668354257941246
valence,13.0,de_beta_P7,DE,0.06497744470834732
valence,14.0,de_beta_PO3,DE,0.06441794335842133
valence,15.0,de_gamma_O2,DE,0.06394022703170776
valence,,__family_share__DE,DE,0.5065000057220459
valence,,__family_share__Connectivity,Connectivity,0.24160000681877136
valence,,__family_share__Hjorth,Hjorth,0.2151000052690506
valence,,__family_share__FAA,FAA,0.03680000081658363
arousal,1.0,de_gamma_FC2,DE,0.2612237334251404
arousal,2.0,de_beta_FC1,DE,0.12965887784957886
arousal,3.0,de_gamma_C3,DE,0.11756236851215363
arousal,4.0,plv_beta_Fp1-Fp2,Connectivity,0.11142203956842422
arousal,5.0,de_gamma_T7,DE,0.11092483252286911
arousal,6.0,de_gamma_CP5,DE,0.08945895731449127
arousal,7.0,de_gamma_CP6,DE,0.08562694489955902
arousal,8.0,de_gamma_Fp2,DE,0.08412586897611618
arousal,9.0,de_beta_AF4,DE,0.08135789632797241
arousal,10.0,de_gamma_AF3,DE,0.07767759263515472
arousal,11.0,plv_beta_T7-T8,Connectivity,0.07133273035287857
arousal,12.0,de_gamma_Cz,DE,0.06978709995746613
arousal,13.0,de_gamma_P3,DE,0.0692983865737915
arousal,14.0,de_beta_FC5,DE,0.06669528037309647
arousal,15.0,plv_alpha_PO3-PO4,Connectivity,0.06444869190454483
arousal,,__family_share__DE,DE,0.5181999802589417
arousal,,__family_share__Hjorth,Hjorth,0.2296999990940094
arousal,,__family_share__Connectivity,Connectivity,0.21770000457763672
arousal,,__family_share__FAA,FAA,0.03449999913573265
dominance,1.0,plv_beta_F3-O1,Connectivity,0.10192599892616272
dominance,2.0,de_gamma_C4,DE,0.0883331373333931
dominance,3.0,de_gamma_CP6,DE,0.07946159690618515
dominance,4.0,F3-F4,FAA,0.07409627735614777
dominance,5.0,de_gamma_AF4,DE,0.07212596386671066
dominance,6.0,de_gamma_FC6,DE,0.07064796984195709
dominance,7.0,de_gamma_Fp1,DE,0.06966286897659302
dominance,8.0,de_gamma_FC2,DE,0.06915447115898132
dominance,9.0,de_gamma_Pz,DE,0.06768915802240372
dominance,10.0,de_gamma_T8,DE,0.06495418399572372
dominance,11.0,de_gamma_F4,DE,0.06366081535816193
dominance,12.0,plv_beta_C3-C4,Connectivity,0.060964543372392654
dominance,13.0,de_beta_CP5,DE,0.05722195655107498
dominance,14.0,plv_beta_CP1-CP2,Connectivity,0.05716077610850334
dominance,15.0,de_gamma_F3,DE,0.0524820052087307
dominance,,__family_share__DE,DE,0.47209998965263367
dominance,,__family_share__Connectivity,Connectivity,0.2378000020980835
dominance,,__family_share__Hjorth,Hjorth,0.2290000021457672
dominance,,__family_share__FAA,FAA,0.06109999865293503
liking,1.0,de_gamma_FC2,DE,0.13002288341522217
liking,2.0,plv_beta_CP1-CP2,Connectivity,0.10653528571128845
liking,3.0,plv_beta_FC1-FC2,Connectivity,0.09342078119516373
liking,4.0,de_gamma_F8,DE,0.09071717411279678
liking,5.0,hjorth_activity_FC1,Hjorth,0.07018869370222092
liking,6.0,de_beta_C4,DE,0.06765919178724289
liking,7.0,de_beta_FC5,DE,0.06507478654384613
liking,8.0,de_beta_Oz,DE,0.063462033867836
liking,9.0,plv_beta_F3-F4,Connectivity,0.06160607561469078
liking,10.0,de_gamma_CP6,DE,0.06087488308548927
liking,11.0,plv_beta_CP5-CP6,Connectivity,0.06009477749466896
liking,12.0,de_gamma_Fp2,DE,0.05934429168701172
liking,13.0,de_gamma_O2,DE,0.05812817066907883
liking,14.0,de_gamma_AF3,DE,0.0553545206785202
liking,15.0,hjorth_activity_Oz,Hjorth,0.055260635912418365
liking,,__family_share__DE,DE,0.4677000045776367
liking,,__family_share__Hjorth,Hjorth,0.2574000060558319
liking,,__family_share__Connectivity,Connectivity,0.23090000450611115
liking,,__family_share__FAA,FAA,0.04399999976158142
