task,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_s,n_params
arousal,CNN-LSTM,0.774,0.0,0.44061621321927846,0.0,0.6050969334926324,0.0,9.947010278701782,82466
arousal,TSception,0.7683333333333333,0.0,0.44554935687714253,0.0,0.4826064516129032,0.0,14.181488275527954,8765
arousal,ShallowConvNet,0.761,0.0,0.45804319579657193,0.0,0.5565301473516527,0.0,31.253337621688843,54562
arousal,EEGNet,0.6986666666666667,0.0,0.5724488026359351,0.0,0.607431302270012,0.0,28.65811038017273,2130
dominance,TSception,0.589,0.0,0.4135198654092304,0.0,0.47538920648617555,0.0,10.63598370552063,8765
dominance,CNN-LSTM,0.5053333333333333,0.0,0.35883809711442577,0.0,0.4521700883280001,0.0,8.156640529632568,82466
dominance,ShallowConvNet,0.4646666666666667,0.0,0.342303200135853,0.0,0.4083582018001175,0.0,23.4995219707489,54562
dominance,EEGNet,0.4533333333333333,0.0,0.3415685443204666,0.0,0.28793010462733254,0.0,23.023081302642822,2130
liking,EEGNet,0.6,0.0,0.375,0.0,0.4234388888888889,0.0,17.327115058898926,2130
liking,CNN-LSTM,0.5986666666666667,0.0,0.3843636549573043,0.0,0.4969907407407408,0.0,11.317216873168945,82466
liking,TSception,0.59,0.0,0.4059023361401362,0.0,0.4720451388888889,0.0,15.07731556892395,8765
liking,ShallowConvNet,0.5323333333333333,0.0,0.41158535178849953,0.0,0.4391956018518518,0.0,26.24227237701416,54562
valence,EEGNet,0.835,0.0,0.4550408719346049,0.0,0.5610709893344623,0.0,17.25370717048645,2130
valence,CNN-LSTM,0.835,0.0,0.4550408719346049,0.0,0.5575854351902256,0.0,9.09398365020752,82466
valence,ShallowConvNet,0.834,0.0,0.4606467040964857,0.0,0.4676291860722998,0.0,27.68954110145569,54562
valence,TSception,0.829,0.0,0.45325314379442316,0.0,0.4980556059597976,0.0,10.732946395874023,8765
