dataset,task,model,n_seeds,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_s_mean
non_overlap,valence,ShallowConvNet,5,0.7808666666666666,0.04999588871986265,0.4385214903682887,0.016205504608120792,0.5410721090705028,0.030457355051639205,44.37797713279724
non_overlap,valence,EEGNet,5,0.7786,0.053406928389488934,0.4400379131474934,0.013730987689913644,0.5444304324802683,0.1070404900687314,55.68737397193909
non_overlap,valence,CNN-LSTM,5,0.7809333333333333,0.050226376426026266,0.4381418112571353,0.015728991376121125,0.5450335608434133,0.08555848842711951,36.30236554145813
non_overlap,valence,TSception,5,0.7793333333333333,0.04796700254688983,0.43883753960661415,0.016664467057199407,0.47649209226926265,0.023232063672171916,37.55819191932678
non_overlap,arousal,ShallowConvNet,5,0.7575333333333333,0.0631495579293051,0.4408316066972727,0.022221293612444827,0.41026080067283777,0.07934489018818099,50.62709226608276
non_overlap,arousal,EEGNet,5,0.7597333333333334,0.06512952905983241,0.463788849440083,0.07080319906982785,0.46386097784619473,0.10620493352758469,37.04045572280884
non_overlap,arousal,CNN-LSTM,5,0.7686666666666666,0.06295280419135872,0.43502420053486573,0.02016425180122184,0.4617692644450309,0.09158341771556272,9.657724905014039
non_overlap,arousal,TSception,5,0.7642666666666666,0.06275543358502467,0.4414192930767166,0.026813225047830836,0.4752627883751785,0.07852834903211714,13.201853895187378
non_overlap,dominance,ShallowConvNet,5,0.4905333333333333,0.06034834067496988,0.45011608706735784,0.07314176616269583,0.45517734332551496,0.0953500737307711,36.42002081871033
non_overlap,dominance,EEGNet,5,0.5134666666666667,0.06023223573986129,0.46797451563089193,0.07509191496596869,0.46209806451709856,0.09371803121611842,22.1588915348053
non_overlap,dominance,CNN-LSTM,5,0.5605333333333332,0.01434805445580222,0.4317824041349467,0.06468462932201886,0.47308565604592057,0.03856286533273182,10.852680110931397
non_overlap,dominance,TSception,5,0.5688666666666666,0.03646352820132592,0.4072283708855397,0.024836232325413685,0.44194113490865145,0.046611371472928105,11.898662424087524
non_overlap,liking,ShallowConvNet,5,0.6336,0.07321482849198725,0.4415332184004982,0.047451321322887624,0.485145753567815,0.014958612314454568,31.663679361343384
non_overlap,liking,EEGNet,5,0.6657333333333334,0.0560904032195645,0.4007775967108656,0.019889916540520577,0.494131423198825,0.046287185012067605,20.802964544296266
non_overlap,liking,CNN-LSTM,5,0.6651333333333334,0.05558357071413578,0.40224727681571465,0.02195840860291795,0.5098279068653284,0.03375543595923548,11.217878484725953
non_overlap,liking,TSception,5,0.6522666666666667,0.06033996280336199,0.43208006440187496,0.04209660253656417,0.48355072652915077,0.05453356861949997,15.939517736434937
overlap50,valence,ShallowConvNet,5,0.7802758620689655,0.0504263334089457,0.44025766381026676,0.013916143496783167,0.5572822601570991,0.029609240788487,53.64708948135376
overlap50,valence,EEGNet,5,0.7764827586206897,0.05598294712328742,0.4439696505193334,0.010808484885949645,0.5811294791135335,0.10949834412083102,51.848276138305664
overlap50,valence,CNN-LSTM,5,0.7810689655172414,0.05013024059978319,0.43846158908063904,0.015536644396833494,0.5620892016048027,0.09174428183481623,20.948788833618163
overlap50,valence,TSception,5,0.7769999999999999,0.05037561057008793,0.44229634553217867,0.017726622149837556,0.5018474852020938,0.035841732287608966,27.79894165992737
overlap50,arousal,ShallowConvNet,5,0.7360689655172413,0.052959865224654366,0.4610187638435085,0.04456036860113515,0.47158931633864826,0.08864109894612254,57.24043536186218
overlap50,arousal,EEGNet,5,0.7587586206896552,0.06585545642919964,0.46998078986444164,0.06694361625428019,0.43784737292151454,0.11553935202874029,40.76005434989929
overlap50,arousal,CNN-LSTM,5,0.769,0.06278933030380238,0.43412805069513694,0.02046213034389329,0.4772883641616219,0.0750128137692034,20.00980863571167
overlap50,arousal,TSception,5,0.7621034482758622,0.05937288703293315,0.43792692510827774,0.022913396186950895,0.46806529206974457,0.09043918689166361,26.764651441574095
overlap50,dominance,ShallowConvNet,5,0.5291034482758621,0.05097698881674779,0.4474642076449613,0.09000847981992248,0.4708498463328247,0.09254877512636236,52.14991068840027
overlap50,dominance,EEGNet,5,0.5294827586206896,0.03985071727162535,0.4957545731044378,0.020433317895150117,0.48764473712508905,0.0333806851346954,46.908011245727536
overlap50,dominance,CNN-LSTM,5,0.5558965517241379,0.015202458496965629,0.4896972999359647,0.0660024487312025,0.5264520509936403,0.06777360201725394,28.032290649414062
overlap50,dominance,TSception,5,0.5575862068965518,0.0563923585027526,0.41300641157500523,0.03507933510463896,0.4444431076204462,0.04931733130824117,23.824657821655272
overlap50,liking,ShallowConvNet,5,0.6094827586206897,0.07837747847427687,0.44159309567098404,0.0411690961699292,0.46711098936760054,0.045713111422154264,53.45038237571716
overlap50,liking,EEGNet,5,0.6593103448275863,0.04806279953527113,0.4415106638166815,0.03465178971715202,0.5173400541121459,0.0567920516878101,36.554536533355716
overlap50,liking,CNN-LSTM,5,0.6668620689655173,0.05640492932642207,0.40043691943805665,0.020320072027917035,0.5100623780985994,0.031624902664174545,18.27981605529785
overlap50,liking,TSception,5,0.6625862068965518,0.05331504529395794,0.4117122888947887,0.0386658099895911,0.4880500214669491,0.05715076331662554,23.80011510848999
